epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3386.86,0.62302,0.51504,1.10937,0.97153,0.95274,0.98439,0.87926,0.43928,0.31623,0.89751,0.000566027,0.000566027,0.000566027
63,3440.12,0.59976,0.49604,1.09169,0.97413,0.95407,0.98581,0.88791,0.43831,0.31339,0.89354,0.00055188,0.00055188,0.00055188
64,3493.39,0.61531,0.50604,1.09676,0.97769,0.95502,0.98361,0.89396,0.42571,0.29909,0.88427,0.000537733,0.000537733,0.000537733
65,3546.62,0.59372,0.49613,1.08963,0.97072,0.96098,0.9869,0.89585,0.42694,0.30803,0.88533,0.000523586,0.000523586,0.000523586
66,3599.9,0.60453,0.50019,1.08739,0.97791,0.95849,0.98901,0.90456,0.41381,0.29295,0.87647,0.000509438,0.000509438,0.000509438
67,3653.22,0.5916,0.49128,1.08338,0.98184,0.96344,0.98989,0.89825,0.42182,0.28532,0.88372,0.000495291,0.000495291,0.000495291
68,3707.94,0.59357,0.48091,1.08646,0.97025,0.96434,0.98753,0.8939,0.42059,0.28961,0.8834,0.000481144,0.000481144,0.000481144
69,3762.31,0.5819,0.46588,1.07369,0.97884,0.96706,0.98951,0.90077,0.41223,0.28862,0.87302,0.000466997,0.000466997,0.000466997
70,3816.98,0.58227,0.4664,1.077,0.97854,0.96288,0.98908,0.90297,0.40823,0.28348,0.87073,0.00045285,0.00045285,0.00045285
71,3872.78,0.58402,0.47674,1.07759,0.97332,0.97126,0.99158,0.90583,0.40609,0.27371,0.86914,0.000438703,0.000438703,0.000438703
72,3927.99,0.58709,0.47313,1.0802,0.98173,0.9599,0.98913,0.90447,0.40023,0.28246,0.86456,0.000424556,0.000424556,0.000424556
73,3985.66,0.58691,0.48193,1.07489,0.974,0.96967,0.98992,0.90742,0.40188,0.27753,0.86246,0.000410409,0.000410409,0.000410409
74,4041.15,0.57396,0.4521,1.07711,0.9694,0.97211,0.99053,0.90978,0.39712,0.26707,0.85712,0.000396262,0.000396262,0.000396262
75,4097.4,0.56133,0.45746,1.06168,0.97462,0.97199,0.99145,0.90783,0.39626,0.2691,0.86154,0.000382115,0.000382115,0.000382115
76,4153.02,0.55552,0.45194,1.06821,0.97728,0.96508,0.99077,0.91192,0.39313,0.26902,0.85813,0.000367967,0.000367967,0.000367967
77,4208.76,0.56548,0.44848,1.07031,0.97814,0.96893,0.99185,0.91034,0.39676,0.27021,0.86121,0.00035382,0.00035382,0.00035382
78,4266.12,0.55224,0.44775,1.06583,0.98211,0.96382,0.99054,0.90594,0.39954,0.26865,0.86396,0.000339673,0.000339673,0.000339673
79,4321.89,0.55883,0.44271,1.06642,0.97649,0.97392,0.99195,0.91335,0.39199,0.25779,0.8528,0.000325526,0.000325526,0.000325526
80,4377.59,0.55884,0.44482,1.06259,0.98607,0.96747,0.99206,0.92137,0.37848,0.25101,0.84761,0.000311379,0.000311379,0.000311379
