epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1704.67,1.07426,1.02787,1.314,0.85756,0.76037,0.82854,0.62039,1.00371,0.78104,1.16146,0.00231875,0.00231875,0.00231875
67,1730.87,1.06546,1.01119,1.30809,0.86489,0.77235,0.84016,0.63174,0.99646,0.77744,1.14805,0.0022775,0.0022775,0.0022775
68,1755.1,1.0511,1.00457,1.29462,0.88635,0.7732,0.83993,0.62989,0.98645,0.77338,1.15029,0.00223625,0.00223625,0.00223625
69,1780.88,1.04187,0.99975,1.29165,0.87414,0.76049,0.83429,0.6226,0.98163,0.76867,1.15903,0.002195,0.002195,0.002195
70,1806.43,1.04708,1.00427,1.30095,0.87011,0.75814,0.82751,0.61106,1.02566,0.78727,1.17751,0.00215375,0.00215375,0.00215375
71,1829.23,1.04873,0.99982,1.29435,0.88181,0.76258,0.83896,0.635,0.98841,0.78556,1.15467,0.0021125,0.0021125,0.0021125
72,1854.33,1.03861,0.99811,1.2958,0.87552,0.76197,0.83179,0.62801,0.99962,0.78267,1.16374,0.00207125,0.00207125,0.00207125
73,1879.9,1.05186,0.99154,1.29803,0.90214,0.779,0.85097,0.63849,0.976,0.73688,1.14253,0.00203,0.00203,0.00203
74,1905.25,1.04634,1.00319,1.30193,0.87179,0.77976,0.84192,0.62633,1.00585,0.7667,1.16116,0.00198875,0.00198875,0.00198875
75,1930.87,1.02453,0.96558,1.28388,0.89725,0.76987,0.8516,0.64181,0.96928,0.74755,1.12984,0.0019475,0.0019475,0.0019475
76,1956.66,1.03027,0.97497,1.28319,0.87173,0.75791,0.82212,0.61791,1.00286,0.7993,1.16834,0.00190625,0.00190625,0.00190625
77,1982.18,1.03894,0.98276,1.29363,0.91815,0.76495,0.8526,0.64374,0.97517,0.73871,1.13622,0.001865,0.001865,0.001865
78,2008.11,1.02378,0.96651,1.28219,0.88741,0.77997,0.84897,0.64237,0.98178,0.73844,1.14526,0.00182375,0.00182375,0.00182375
79,2034.41,1.02168,0.96547,1.28312,0.89454,0.77782,0.84019,0.62404,1.01354,0.77747,1.18007,0.0017825,0.0017825,0.0017825
80,2060.1,1.01803,0.97471,1.28294,0.90104,0.79143,0.86224,0.65733,0.95907,0.70328,1.12478,0.00174125,0.00174125,0.00174125
81,2085.57,0.99706,0.94918,1.27519,0.89644,0.79194,0.85513,0.65161,0.94882,0.70262,1.11772,0.0017,0.0017,0.0017
82,2109.44,0.99668,0.92926,1.25958,0.85188,0.79334,0.83945,0.63091,0.98207,0.74797,1.14564,0.00165875,0.00165875,0.00165875
83,2136.38,1.00794,0.94221,1.27341,0.88788,0.77784,0.83817,0.63412,0.97676,0.75292,1.14723,0.0016175,0.0016175,0.0016175
84,2166.42,1.00105,0.92459,1.27049,0.88604,0.79848,0.85505,0.65594,0.9396,0.71555,1.11351,0.00157625,0.00157625,0.00157625
85,2195.18,0.98941,0.91639,1.26528,0.89727,0.78358,0.85413,0.65051,0.94165,0.71813,1.11805,0.001535,0.001535,0.001535
86,2222.18,0.99105,0.92637,1.2646,0.91923,0.78042,0.85962,0.65747,0.93731,0.69869,1.10468,0.00149375,0.00149375,0.00149375
87,2249.5,0.98662,0.91316,1.26269,0.91133,0.79594,0.86246,0.66305,0.9232,0.67164,1.10897,0.0014525,0.0014525,0.0014525
88,2275.68,0.99517,0.92274,1.26459,0.92117,0.79544,0.85375,0.65367,0.94952,0.71362,1.1133,0.00141125,0.00141125,0.00141125
89,2301.66,0.99278,0.91382,1.26188,0.90562,0.79362,0.85639,0.65768,0.94904,0.69516,1.11844,0.00137,0.00137,0.00137
90,2327.07,0.98343,0.90315,1.26027,0.91621,0.78869,0.85509,0.65875,0.93968,0.6921,1.11445,0.00132875,0.00132875,0.00132875
91,2352.94,0.99247,0.90337,1.26022,0.92175,0.78814,0.86011,0.65665,0.93135,0.69156,1.10114,0.0012875,0.0012875,0.0012875
92,2378.43,0.97633,0.90642,1.25372,0.91022,0.78241,0.864,0.66197,0.92925,0.69442,1.10443,0.00124625,0.00124625,0.00124625
93,2401.33,0.98891,0.90472,1.26135,0.9025,0.79235,0.85877,0.656,0.9324,0.68456,1.10935,0.001205,0.001205,0.001205
94,2424.44,0.98062,0.90354,1.25689,0.91147,0.80708,0.86303,0.66712,0.91914,0.66092,1.10252,0.00116375,0.00116375,0.00116375
95,2450.32,0.96263,0.87581,1.24532,0.90006,0.7994,0.86507,0.66698,0.91297,0.66043,1.09416,0.0011225,0.0011225,0.0011225
96,2476.82,0.98183,0.89953,1.25955,0.8854,0.79975,0.86284,0.66238,0.92536,0.68734,1.1026,0.00108125,0.00108125,0.00108125
97,2503.53,0.97419,0.89122,1.25092,0.90247,0.79527,0.86193,0.6622,0.91819,0.66748,1.09158,0.00104,0.00104,0.00104
98,2529.52,0.96557,0.88153,1.24399,0.89786,0.80471,0.85962,0.66901,0.906,0.66747,1.09107,0.00099875,0.00099875,0.00099875
99,2553.53,0.95615,0.88631,1.24625,0.9106,0.79679,0.86441,0.6763,0.89811,0.66015,1.07926,0.0009575,0.0009575,0.0009575
100,2578.29,0.96793,0.87659,1.24977,0.91674,0.79576,0.86416,0.66824,0.90154,0.66559,1.08687,0.00091625,0.00091625,0.00091625
101,2604.23,0.94627,0.86838,1.23941,0.91388,0.80373,0.86475,0.67682,0.90156,0.64908,1.08704,0.000875,0.000875,0.000875
102,2630.49,0.93733,0.85631,1.23129,0.91498,0.79439,0.86302,0.66994,0.89601,0.64942,1.07433,0.00083375,0.00083375,0.00083375
103,2656.36,0.94509,0.84878,1.23483,0.91955,0.7977,0.86481,0.67283,0.89982,0.63515,1.07791,0.0007925,0.0007925,0.0007925
104,2682.54,0.94399,0.85615,1.23367,0.8959,0.81691,0.86343,0.66341,0.92216,0.66069,1.09454,0.00075125,0.00075125,0.00075125
105,2708.68,0.94969,0.85581,1.23578,0.91773,0.79902,0.8643,0.6754,0.89783,0.64963,1.07558,0.00071,0.00071,0.00071
106,2754.21,0.81228,0.61497,1.14612,0.89559,0.80606,0.86401,0.66818,0.91821,0.6647,1.09508,0.00066875,0.00066875,0.00066875
107,2776.41,0.78909,0.54059,1.14017,0.91264,0.809,0.86591,0.67187,0.91068,0.64761,1.09537,0.0006275,0.0006275,0.0006275
108,2798.25,0.77137,0.51905,1.12793,0.89913,0.81935,0.86712,0.67755,0.89969,0.6385,1.08284,0.00058625,0.00058625,0.00058625
109,2820.45,0.77555,0.51565,1.127,0.90754,0.81031,0.86555,0.67631,0.89439,0.64988,1.08299,0.000545,0.000545,0.000545
110,2842.32,0.76234,0.50077,1.12593,0.91482,0.81418,0.86787,0.68168,0.8904,0.63698,1.07706,0.00050375,0.00050375,0.00050375
111,2864.17,0.75105,0.49738,1.11369,0.9175,0.81131,0.86896,0.67914,0.89551,0.63954,1.07924,0.0004625,0.0004625,0.0004625
112,2886.19,0.75276,0.49537,1.11829,0.91729,0.81655,0.87021,0.68246,0.88938,0.63577,1.07304,0.00042125,0.00042125,0.00042125
113,2911.71,0.75299,0.48327,1.11291,0.93046,0.80852,0.86929,0.6799,0.89337,0.63735,1.07526,0.00038,0.00038,0.00038
114,2937.52,0.74454,0.48175,1.11242,0.92102,0.81846,0.87131,0.6836,0.88331,0.62954,1.06879,0.00033875,0.00033875,0.00033875
115,2959.31,0.74292,0.47376,1.10965,0.92947,0.81443,0.87119,0.68546,0.88223,0.6231,1.06988,0.0002975,0.0002975,0.0002975
116,2982.85,0.734,0.46917,1.10521,0.92892,0.81735,0.87089,0.68347,0.88923,0.62671,1.07681,0.00025625,0.00025625,0.00025625
117,3004.9,0.73219,0.46443,1.10528,0.92838,0.81529,0.87042,0.68403,0.88818,0.62364,1.07335,0.000215,0.000215,0.000215
118,3027.3,0.72651,0.4657,1.10006,0.93118,0.81714,0.87085,0.68415,0.8883,0.61957,1.07316,0.00017375,0.00017375,0.00017375
119,3050.8,0.7193,0.45896,1.09788,0.93586,0.81374,0.87274,0.68812,0.88295,0.61335,1.06872,0.0001325,0.0001325,0.0001325
120,3074.33,0.72341,0.46081,1.1014,0.93167,0.81257,0.87329,0.68698,0.88221,0.61292,1.06909,9.125e-05,9.125e-05,9.125e-05
