epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4554.34,0.55313,0.45211,1.06704,0.97339,0.96818,0.99158,0.90629,0.39685,0.27854,0.86468,0.000339673,0.000339673,0.000339673
79,4616.67,0.55565,0.44009,1.0683,0.9759,0.96743,0.99,0.91556,0.39228,0.26963,0.86091,0.000325526,0.000325526,0.000325526
80,4677.19,0.55559,0.44107,1.06142,0.97834,0.97301,0.99144,0.91312,0.38404,0.26566,0.8557,0.000311379,0.000311379,0.000311379
81,4736.79,0.55296,0.45081,1.06908,0.97948,0.97505,0.99092,0.9148,0.38148,0.26016,0.85376,0.000297232,0.000297232,0.000297232
82,4795.99,0.53149,0.42251,1.05353,0.98188,0.97101,0.99185,0.91464,0.38435,0.2593,0.85497,0.000283085,0.000283085,0.000283085
83,4855.17,0.54934,0.44006,1.06643,0.98169,0.97366,0.99154,0.91844,0.37664,0.25551,0.84935,0.000268938,0.000268938,0.000268938
84,4914.44,0.55239,0.44209,1.0571,0.98334,0.97263,0.99177,0.91875,0.37741,0.25583,0.84846,0.000254791,0.000254791,0.000254791
85,4973.95,0.53906,0.42672,1.06061,0.97983,0.97201,0.99189,0.91726,0.37569,0.25013,0.84666,0.000240644,0.000240644,0.000240644
86,5033.49,0.53329,0.42754,1.05592,0.97956,0.97527,0.993,0.92194,0.36999,0.24607,0.84708,0.000226497,0.000226497,0.000226497
87,5093.22,0.51962,0.40822,1.04542,0.98563,0.97309,0.99175,0.9239,0.36719,0.25054,0.84264,0.000212349,0.000212349,0.000212349
88,5153.08,0.51536,0.41259,1.04265,0.98379,0.97378,0.99158,0.9217,0.36894,0.24921,0.84083,0.000198202,0.000198202,0.000198202
89,5212.88,0.52126,0.41643,1.04911,0.98501,0.97343,0.99133,0.92468,0.36269,0.2461,0.83778,0.000184055,0.000184055,0.000184055
90,5272.67,0.52898,0.41487,1.04687,0.98271,0.97443,0.98996,0.92212,0.36445,0.24772,0.83967,0.000169908,0.000169908,0.000169908
91,5338.9,0.39553,0.29603,0.96854,0.98416,0.97011,0.99146,0.91911,0.36731,0.24498,0.83917,0.000155761,0.000155761,0.000155761
92,5398.13,0.3922,0.27479,0.95796,0.98613,0.97374,0.99325,0.92425,0.36333,0.24701,0.83756,0.000141614,0.000141614,0.000141614
93,5458.32,0.37826,0.26949,0.95226,0.98459,0.97886,0.99382,0.93047,0.35329,0.23686,0.82855,0.000127467,0.000127467,0.000127467
94,5517.58,0.37467,0.26008,0.94249,0.98681,0.97667,0.99361,0.93092,0.34959,0.23673,0.82787,0.00011332,0.00011332,0.00011332
95,5577.16,0.37517,0.26482,0.94448,0.98264,0.98037,0.99374,0.93316,0.34344,0.23329,0.8221,9.91726e-05,9.91726e-05,9.91726e-05
96,5635.88,0.37058,0.25662,0.9465,0.9849,0.97808,0.99409,0.93496,0.3425,0.23027,0.82148,8.50255e-05,8.50255e-05,8.50255e-05
97,5694.7,0.37164,0.25871,0.94006,0.98595,0.97949,0.99424,0.93676,0.33758,0.22895,0.81731,7.08784e-05,7.08784e-05,7.08784e-05
98,5753.46,0.36001,0.25183,0.94144,0.99052,0.97955,0.99421,0.93729,0.33585,0.22652,0.81791,5.67313e-05,5.67313e-05,5.67313e-05
99,5813.13,0.36341,0.24827,0.937,0.991,0.97809,0.9942,0.93902,0.33325,0.22501,0.81533,4.25842e-05,4.25842e-05,4.25842e-05
100,5874.87,0.3581,0.24667,0.93588,0.99066,0.97935,0.99424,0.93808,0.33199,0.22446,0.81489,2.84371e-05,2.84371e-05,2.84371e-05
